ERROR 2025-09-11 14:56:31,061 NE_RS_UNBLDRE: Unable to load application resource file /resources/resources/sharedIndex/footer.html api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 14:56:31,062 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 14:56:31,375 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 14:56:41,309 NE_RS_UNBLDRE: Unable to load application resource file /resources/resources/sharedIndex/header.html api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 14:57:45,487 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 14:57:46,185 NE_RS_UNBLDRE: Unable to load application resource file /resources/resources/sharedIndex/header.html api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 14:57:46,191 NE_RS_UNBLDRE: Unable to load application resource file /resources/resources/sharedIndex/footer.html api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 14:57:46,219 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 14:57:46,225 NE_RS_UNBLDRE: Unable to load application resource file /resources/resources/sharedIndex/header.html api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 14:57:46,236 NE_RS_UNBLDRE: Unable to load application resource file /resources/resources/sharedIndex/footer.html api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 14:57:46,561 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 14:58:23,244 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 14:58:23,296 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 14:58:23,314 NE_RS_UNBLDRE: Unable to load application resource file /resources/resources/sharedIndex/header.html api\debug\debug.cpp:20 darkp@TUFERICK
ERROR 2025-09-11 14:58:23,314 NE_RS_UNBLDRE: Unable to load application resource file /resources/resources/sharedIndex/footer.html api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 14:58:48,755 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 14:58:48,802 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:00:05,786 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:00:05,834 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:00:50,770 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:00:50,814 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:02:11,027 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:02:11,088 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:02:43,683 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:02:43,739 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:03:23,057 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:03:23,102 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:04:14,117 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:04:14,158 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:06:45,650 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:06:45,694 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:07:10,281 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:07:10,325 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:09:09,874 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:09:09,922 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
INFO 2025-09-11 15:09:37,018 Reloading the application... api\debug\debug.cpp:17 darkp@TUFERICK
ERROR 2025-09-11 15:09:37,072 NE_RS_UNBLDRE: Unable to load application resource file /resources/.well-known/appspecific/com.chrome.devtools.json api\debug\debug.cpp:20 darkp@TUFERICK
